event,detector,fs,window,whiten,fmin,fmax,smooth_samples,ringdown_start,ringdown_end,t_peak,t_ring_start,t_ring_end,Xi_mean,Xi_std,Xi_dimensionless
GW190828_063405,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.05122065544128420,0.05622065544128420,0.08122065544128420,0.003733735982396900,0.00129648789094845,4.600108567734040
GW190828_065509,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.3485839366912840,-0.3435839366912840,-0.31858393669128400,0.0014483153134722800,0.0002709998064216600,2.484915813791670
GW190828_065509,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.4582030773162840,-0.4532030773162840,-0.42820307731628400,0.001742793525102330,0.00015391556558635200,1.7638587010610500
GW190910_112807,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-2.000195264816280,-1.9951952648162800,-1.9701952648162800,nan,nan,nan
GW190910_112807,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01860356330871580,0.02360356330871580,0.04860356330871580,0.0025396128224509500,0.0007384392993046020,2.7233037605459100
GW190915_235702,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.01835942268371580,-0.01335942268371580,0.011640577316284200,0.0015644206990256100,0.00021312435107170900,1.6197282675360700
GW190915_235702,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.03935551643371580,-0.03435551643371580,-0.009355516433715820,0.00154650031302698,0.0006308895149258330,2.5404650546615500
GW190924_021846,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.5490233898162840,-0.5440233898162840,-0.5190233898162840,0.0021190975657180900,0.0006194354326033600,2.144711135227380
GW190924_021846,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.00883793830871582,0.013837938308715800,0.03883793830871580,0.0017517211158814500,0.00018978029099461000,2.3238230306483600
GW190929_012149,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.005126953125,-0.0001269531250000000,0.024873046875,0.0012350945789527000,0.0002918199738859680,1.3622701690504500
GW190929_012149,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.00048828125,0.00451171875,0.02951171875,0.0013492066650885700,0.00016983150392269800,2.1701927665749100
